company_name,department_id
(医)やすだ　堀口記念病院,作業療法士学科
(医)やすだ　堀口記念病院,医療福祉総合学科
(医)やすだ　堀口記念病院,理学療法士学科
(医)やすだ　堀口記念病院,看護学科
(有) Ｏｐｔｉｍａｌ　にしむら鍼灸接骨院グループ,柔道整復スポーツトレーナー学科
(有) Ｏｐｔｉｍａｌ　にしむら鍼灸接骨院グループ,柔道整復スポーツ学科
(有) Ｏｐｔｉｍａｌ　にしむら鍼灸接骨院グループ,柔道整復師学科
(有) Ｏｐｔｉｍａｌ　にしむら鍼灸接骨院グループ,鍼灸スポーツ学科
(有) Ｏｐｔｉｍａｌ　にしむら鍼灸接骨院グループ,鍼灸師学科
(有) Ｏｐｔｉｍａｌ　にしむら鍼灸接骨院グループ,鍼灸美容学科
KHS　（きつこう会ヘルスケアシステム）,介護福祉学科
KHS　（きつこう会ヘルスケアシステム）,介護福祉科
KHS　（きつこう会ヘルスケアシステム）,医療福祉総合学科
MOVEACTION株式会社,柔道整復スポーツトレーナー学科
MOVEACTION株式会社,柔道整復スポーツ学科
MOVEACTION株式会社,柔道整復師学科
MOVEACTION株式会社,鍼灸スポーツ学科
MOVEACTION株式会社,鍼灸師学科
MOVEACTION株式会社,鍼灸美容学科
ODAIJINI鍼灸整骨院,柔道整復スポーツトレーナー学科
ODAIJINI鍼灸整骨院,柔道整復スポーツ学科
ODAIJINI鍼灸整骨院,柔道整復師学科
ODAIJINI鍼灸整骨院,看護学科
ODAIJINI鍼灸整骨院,鍼灸スポーツ学科
ODAIJINI鍼灸整骨院,鍼灸師学科
ODAIJINI鍼灸整骨院,鍼灸美容学科
TREE（ツリー）鍼灸整骨院,柔道整復スポーツトレーナー学科
TREE（ツリー）鍼灸整骨院,柔道整復スポーツ学科
TREE（ツリー）鍼灸整骨院,柔道整復師学科
TREE（ツリー）鍼灸整骨院,鍼灸スポーツ学科
TREE（ツリー）鍼灸整骨院,鍼灸師学科
TREE（ツリー）鍼灸整骨院,鍼灸美容学科
e-rise株式会社 　foryou鍼灸整骨院グループ,柔道整復スポーツトレーナー学科
e-rise株式会社 　foryou鍼灸整骨院グループ,柔道整復スポーツ学科
e-rise株式会社 　foryou鍼灸整骨院グループ,柔道整復師学科
e-rise株式会社 　foryou鍼灸整骨院グループ,鍼灸スポーツ学科
e-rise株式会社 　foryou鍼灸整骨院グループ,鍼灸師学科
e-rise株式会社 　foryou鍼灸整骨院グループ,鍼灸美容学科
くまのみ整骨院・鍼灸院グループ　株式会社くまのみ,柔道整復スポーツトレーナー学科
くまのみ整骨院・鍼灸院グループ　株式会社くまのみ,柔道整復スポーツ学科
くまのみ整骨院・鍼灸院グループ　株式会社くまのみ,柔道整復師学科
くまのみ整骨院・鍼灸院グループ　株式会社くまのみ,薬業科
くまのみ整骨院・鍼灸院グループ　株式会社くまのみ,鍼灸スポーツ学科
くまのみ整骨院・鍼灸院グループ　株式会社くまのみ,鍼灸師学科
